name,code,country,city,latitude,longitude,imageLink
Incirlik,LTAG,Turkey,Adana,37,35.419998,-
Altus AFB,KLTS,United States,Altus,34.666458,-99.267998,-
Andersen AFB,PGUA,Guam,Andersen,13.58389,144.929993,-
Logistics Support Area Anaconda,OAIX,Afghanistan,Bagram,34.959614,69.270508,-
Vandenberg AFB,KVBG,United States,Lompoc,34.72966,-120.575996,-
Dyess AFB,KDYS,United States,Abilene,32.42083,-99.854599,-
Davis Monthan AFB,KDMA,United States,Tucson,32.1665,-110.883003,-
Kadena AB,DNA,Japan,Okinawa,26.35561,127.767601,-
Keflavik International Airport,BIKF,Iceland,Reykjavik,63.985001,-22.605499,https://www.jetphotos.com/photo/8912308
Gunsan Airport,KUV,South Korea,Gunsan,35.90361,126.615829,-
RAF Lakenheath,EGUL,United Kingdom,Lakenheath,52.409302,0.561,-
Langley AFB,KLFI,United States,Hampton,37.082829,-76.360497,-
Bishkek Manas International Airport,FRU,Kyrgyzstan,Bishkek,43.061298,74.477547,https://www.jetphotos.com/photo/9976549
RAF Mildenhall,EGUN,United Kingdom,Mildenhall,52.361931,0.486406,https://www.jetphotos.com/photo/7686443
Nellis AFB,KLSV,United States,Las Vegas,36.236191,-115.033997,https://www.jetphotos.com/photo/9131826
Offutt AFB,KOFF,United States,Omaha,41.118328,-95.912498,-
Ramstein Air Base,RMS,Germany,Ramstein,49.436909,7.600283,https://www.jetphotos.com/photo/10293413
Roswell International Air Center Airport,KROW,United States,Roswell,33.301552,-104.529999,https://www.jetphotos.com/photo/8635928
Pituffik Airport,BGTL,Greenland,Pituffik,76.533333,-68.699997,-
Whiteman AFB,KSZL,United States,Knob Noster,38.730289,-93.547897,-
Fairford,EGVA,United Kingdom,Fairford,51.682159,-1.79002,https://www.jetphotos.com/photo/7562722
Edwards AFB,EDW,United States,Edwards,34.90855,-117.883003,https://www.jetphotos.com/photo/10199682
Anchorage Elmendorf Air Force Base,PAED,United States,Anchorage,61.251339,-149.806,https://www.jetphotos.com/photo/8350799
Andrews Air Force Base,KADW,United States,Camp Springs,38.810829,-76.866997,-
Volk Field,KVOK,United States,Camp Douglas,43.937057,-90.256882,-
Ganja International Airport,KVD,Azerbaijan,Ganja,40.737778,46.317501,-
Aviano,LIPA,Italy,Aviano,46.031879,12.59647,-
Riverside March Air Reserve Base,RIV,United States,Riverside,33.880711,-117.259003,-
Fairfield Travis Air Force Base,SUU,United States,Fairfield,38.262661,-121.927002,-
Los Angeles Whiteman Airport,WHP,United States,Los Angeles,34.259323,-118.413429,-
Tartu Airport,TAY,Estonia,Tartu,58.307461,26.69042,https://www.jetphotos.com/photo/8353477
Tallinn Lennart Meri Airport ,TLL,Estonia,Tallinn,59.413311,24.83284,https://www.jetphotos.com/photo/8126459
Parnu Airport,EPU,Estonia,Parnu,58.418999,24.472799,https://www.jetphotos.com/photo/8697504
Kardla Airport,KDL,Estonia,Kardla,58.990749,22.83073,-
Riga International Airport,RIX,Latvia,Riga,56.923611,23.971109,https://www.jetphotos.com/photo/10087230
Ventspils International Airport,VNT,Latvia,Ventspils,57.349998,21.540001,-
Liepaja Airport,LPX,Latvia,Liepaja,56.517502,21.096939,https://www.jetphotos.com/photo/9422809
Vilnius International Airport,VNO,Lithuania,Vilnius,54.63707,25.2878,https://www.jetphotos.com/photo/7887278
Kaunas Airport,KUN,Lithuania,Kaunas,54.963909,24.08477,https://www.jetphotos.com/photo/6487717
Siauliai International Airport,SQQ,Lithuania,Siauliai,55.893879,23.39497,-
Palanga International Airport,PLQ,Lithuania,Palanga,55.973221,21.093849,https://www.jetphotos.com/photo/9617739
Gdansk Lech Walesa Airport,GDN,Poland,Gdansk,54.37756,18.466221,https://www.jetphotos.com/photo/8734045
Szczecin Goleniow Airport,SZZ,Poland,Szczecin,53.584728,14.9022,https://www.jetphotos.com/photo/9876594
Bydgoszcz Ignacy Jan Paderewski Airport,BZG,Poland,Bydgoszcz,53.096802,17.977659,https://www.jetphotos.com/photo/7198978
Poznan Lawica Airport,POZ,Poland,Poznan,52.421028,16.826321,https://www.jetphotos.com/photo/10188187
Warsaw Modlin Airport,WMI,Poland,Warsaw,52.451111,20.651667,https://www.jetphotos.com/photo/7966476
Warsaw Chopin Airport,WAW,Poland,Warsaw,52.165749,20.967119,https://www.jetphotos.com/photo/9804578
Lodz Wladyslaw Reymont Airport,LCJ,Poland,Lodz,51.721882,19.39813,https://www.jetphotos.com/photo/10027271
Lublin Airport,LUZ,Poland,Lublin,51.240002,22.713333,https://www.jetphotos.com/photo/7777041
Wroclaw Copernicus Airport,WRO,Poland,Wroclaw,51.10268,16.88583,https://www.jetphotos.com/photo/8952772
Katowice International Airport,KTW,Poland,Katowice,50.474251,19.080009,https://www.jetphotos.com/photo/10304573
Krakow John Paul II International Airport,KRK,Poland,Krakow,50.077728,19.78483,https://www.jetphotos.com/photo/9809830
Rzeszow Jasionka Airport,RZE,Poland,Rzeszow,50.109951,22.018999,https://www.jetphotos.com/photo/10033579
Kyiv Zhuliany Airport,IEV,Ukraine,Kyiv,50.401691,30.44969,https://www.jetphotos.com/photo/9028143
Rivne International Airport,RWN,Ukraine,Rivne,50.599998,26.15,https://www.jetphotos.com/photo/10199260
Kyiv Hostomel Airport,GML,Ukraine,Kyiv,50.603611,30.191944,https://www.jetphotos.com/photo/6109967
Vinnytsia Havryshivka International Airport,VIN,Ukraine,Vinnytsia,49.243427,28.6112,https://www.jetphotos.com/photo/9454783
Izmir Adnan Menderes International Airport,ADB,Turkey,Izmir,38.292389,27.15695,https://www.jetphotos.com/photo/8115055
Adana Sakirpasa Airport,ADA,Turkey,Adana,36.982159,35.28038,https://www.jetphotos.com/photo/8092779
Tbilisi International Airport,TBS,Georgia,Tbilisi,41.669159,44.95472,https://www.jetphotos.com/photo/6978963
Kyiv Boryspil International Airport,KBP,Ukraine,Kyiv,50.345001,30.89472,https://www.jetphotos.com/photo/9705811
Pardubice Airport,PED,Czechia,Pardubice,50.013409,15.73864,https://www.jetphotos.com/photo/9359650
Kabul International Airport,KBL,Afghanistan,Kabul,34.565842,69.21241,https://www.jetphotos.com/photo/8565402
